Factory,DT,Trouble_Status,Oper_No,Trouble_Item,Description
ASEF3,"2025-6-4, 07:50",關閉比對,4730,關整台,4730#820 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-4, 07:51",關閉比對,4730,關整台,4730#652 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-4, 07:51",關閉比對,4730,關整台,4730#603 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-4, 08:01",過帳相關,3910,無法過帳,"5-182K7L-004-004
消除作業記錄"
ASEF3,"2025-6-4, 08:02",過帳相關,3910,無法過帳,"5-232KH2-006-010
消除作業記錄"
ASEF3,"2025-6-4, 08:03",過帳相關,3910,無法過帳,"2D逾時未打印，請刪紀錄
5-20LCNM-006-009"
ASEF3,"2025-6-4, 08:03",過帳相關,3910,無法過帳,"5-ANQMCV-001-005
消除作業記錄"
ASEF3,"2025-6-4, 08:05",過帳相關,3910,無法過帳,"5-242K64-005-005
5-242K64-005-006
消除作業記錄"
ASEF1,"2025-6-4, 08:45",關閉比對,4805,關整台,
ASEF3,"2025-6-4, 10:37",過帳相關,3910,無法過帳,請協助重開EAP，謝謝
ASEF1,"2025-6-4, 12:21",自動化設備相關,2715,過壓防撞,
ASEF1,"2025-6-4, 12:44",自動化設備相關,2715,過壓防撞,
ASEF3,"2025-6-4, 14:28",過帳相關,3910,無法過帳,無法MOVE IN，請重開EAP測試
ASEF1,"2025-6-4, 14:32",過帳相關,3910,連線異常,"Hello CIM：
3910-C01S 
請協助消除此條批號之作業紀錄，批號為 5-22IEYG-001-002，謝謝。"
ASEF1,"2025-6-4, 15:00",過帳相關,3910,連線異常,"Hello CIM：
3910-C01S 
請協助消除此條批號之作業紀錄，批號為 5-22IEYG-002-002，謝謝。"
ASEF3,"2025-6-4, 15:31",關閉比對,4730,關整台,4730#602  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-4, 19:42",自動化設備相關,4110,機台異常,(M7824)出料7無盤
ASEF3,"2025-6-4, 19:47",關閉比對,4730,關整台,關閉AI PROFILE
ASEF3,"2025-6-4, 19:47",關閉比對,4730,關整台,關閉AI PROFILE
ASEF3,"2025-6-4, 19:48",關閉比對,4730,關整台,關閉AI PROFILE
ASEF3,"2025-6-4, 19:49",關閉比對,4730,關整台,關閉AI PROFILE
ASEF3,"2025-6-4, 19:50",關閉比對,4730,關整台,關閉AI PROFILE
ASEF3,"2025-6-4, 19:50",關閉比對,4515,關整台,4515#651 需過帳4554站點，請協助關閉防漏洗功能
ASEF3,"2025-6-4, 19:50",關閉比對,4730,關整台,關閉AI PROFILE
ASEF3,"2025-6-4, 19:51",關閉比對,4730,關整台,4730#810  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-4, 19:51",關閉比對,4730,關整台,關閉AI PROFILE
ASEF3,"2025-6-4, 19:51",關閉比對,4730,關整台,關閉AI PROFILE
ASEF3,"2025-6-4, 19:52",關閉比對,4730,關整台,4730#816  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-4, 19:52",關閉比對,4730,關整台,4730#809  AI PROFILE異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-4, 19:52",關閉比對,4515,關整台,關閉比對
ASEF3,"2025-6-4, 19:52",關閉比對,4730,關整台,4730#811 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-4, 19:53",關閉比對,4730,關整台,4730#820 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-4, 19:54",關閉比對,4730,關整台,4730#652 AI PROFILE 異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE
ASEF3,"2025-6-4, 19:55",自動化設備相關,3260,默停,
