Factory,Building,Floor,Oper_No,Machine_ID,Description,DT,Trouble_Item,Trouble_Status
ASEF3,K11,7F,4730,805,4730#805  168L  AI PROFILE異常 ，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-8, 08:05",關整台,關閉比對
ASEF3,K11,6F,4730,602,4730#602  266L 無美光  PROFILE ，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-8, 08:06",關整台,關閉比對
ASEF3,K25,8F,3260,ALL,na,"2025-9-8, 08:08",機台異常,自動化設備相關
ASEF1,K21,8F,2715,A03,2715-A03 過壓,"2025-9-8, 08:28",過壓防撞,自動化設備相關
ASEF3,K25,8F,2400,815,,"2025-9-8, 08:29",連線異常,過帳相關
ASEF1,K21,8F,2945,0380,,"2025-9-8, 08:53",關整台,關閉比對
ASEF1,K21,8F,2715,A03,2715-A03 異常,"2025-9-8, 08:59",機台異常,自動化設備相關
ASEF3,K25,8F,2400,806,,"2025-9-8, 09:14",連線異常,過帳相關
ASEF3,K25,8F,2900,804H,TrackOut 失敗(Fail):批號:362KVWB003 WAFERID蒐集站點請輸入WAFERID.(MUST KEY IN WAFERID),"2025-9-8, 09:14",無法過帳,過帳相關
ASEF3,K25,8F,2900,802H,BXQMZEB004 2930 MOVE OUT FAIL,"2025-9-8, 09:16",無法過帳,過帳相關
ASEF1,K21,8F,2715,A03,2715-A03 過壓,"2025-9-8, 09:18",過壓防撞,自動化設備相關
ASEF3,K25,8F,2400,802,,"2025-9-8, 09:21",參數比對異常,過帳相關
ASEF3,K25,8F,2400,803,,"2025-9-8, 09:22",參數比對異常,過帳相關
ASEF3,K25,8F,2900,813F,,"2025-9-8, 09:22",機台異常,自動化設備相關
ASEF3,K11,5F,3400,ALL,"LC : 204
PKG CODE : RU1X
SLOR : 1","2025-9-8, 09:25",無法過帳,過帳相關
ASEF3,K25,8F,2400,813,,"2025-9-8, 09:32",連線異常,過帳相關
ASEF1,K21,8F,2715,A03,2715-A03 又過壓,"2025-9-8, 09:36",過壓防撞,自動化設備相關
ASEF3,K25,8F,2400,804,,"2025-9-8, 09:43",參數比對異常,過帳相關
ASEF3,K25,8F,2900,802H,BXQMZEB006 2930 MOVE OUT FAIL,"2025-9-8, 09:43",無法過帳,過帳相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 09:50",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 09:56",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,2400,807,,"2025-9-8, 10:26",連線異常,過帳相關
ASEF3,K25,8F,4110,ALL,,"2025-9-8, 10:43",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3670,ALL,na,"2025-9-8, 11:35",機台異常,自動化設備相關
ASEF3,K11,8F,4110,ALL,4110自動化PC端連線異常,"2025-9-8, 11:35",連線異常,過帳相關
ASEF3,K11,8F,3260,ALL,,"2025-9-8, 11:42",機台異常,自動化設備相關
ASEF1,K21,8F,2715,A02,2715-A02 過壓,"2025-9-8, 11:43",過壓防撞,自動化設備相關
ASEF3,K25,8F,3260,ALL,na,"2025-9-8, 11:48",機台異常,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 12:49",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,2900,802H,BXQMZGB001 2930 MOVE OUT FAIL,"2025-9-8, 13:11",無法過帳,過帳相關
ASEF3,K25,8F,2400,802,,"2025-9-8, 13:22",參數比對異常,過帳相關
ASEF1,K21,5F,3910,C01S,"Hello CIM：
3910-C01S 
請協助消除此條批號之作業紀錄，批號為 5-36IEVD-001-004，謝謝。","2025-9-8, 13:23",連線異常,過帳相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 13:28",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,2900,803H,TrackOut 失敗(Fail):批號:342KWJB003 WAFERID蒐集站點請輸入WAFERID.(MUST KEY IN WAFERID),"2025-9-8, 13:40",異常退盒,過帳相關
ASEF1,K21,8F,2500,ALL,2500 儲格區 異常,"2025-9-8, 13:50",機台異常,自動化設備相關
ASEF3,K25,8F,4110,ALL,,"2025-9-8, 14:30",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,2400,806,,"2025-9-8, 14:37",參數比對異常,過帳相關
ASEF3,K25,8F,2400,815,,"2025-9-8, 14:46",連線異常,過帳相關
ASEF1,K21,8F,2500,ALL,2500 自動化 異常,"2025-9-8, 14:46",機台異常,自動化設備相關
ASEF3,K25,8F,4110,ALL,,"2025-9-8, 14:47",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,2400,807,,"2025-9-8, 14:49",連線異常,過帳相關
ASEF3,K11,8F,3670,826,,"2025-9-8, 15:01",無法過帳,過帳相關
ASEF3,K25,8F,2400,803,,"2025-9-8, 15:08",連線異常,過帳相關
ASEF3,K25,8F,4110,ALL,na,"2025-9-8, 16:07",機台異常,自動化設備相關
ASEF3,K25,8F,4110,ALL,na,"2025-9-8, 16:22",機台異常,自動化設備相關
ASEF3,K25,8F,4110,ALL,na,"2025-9-8, 16:42",機台異常,自動化設備相關
ASEF1,K21,8F,2715,A02,2715-02 NG,"2025-9-8, 16:53",機台異常,自動化設備相關
ASEF3,K25,8F,4110,ALL,na,"2025-9-8, 16:56",機台異常,自動化設備相關
ASEF1,K21,8F,2500,ALL,2500儲格異常,"2025-9-8, 17:10",機台異常,自動化設備相關
ASEF1,K21,8F,2715,A02,2715-02 ng,"2025-9-8, 17:16",機台異常,自動化設備相關
ASEF3,K25,8F,4110,ALL,,"2025-9-8, 17:27",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 18:01",卡盒卡盤,自動化設備相關
ASEF3,K25,9F,3910,9002,"請協助刪除作業記錄
5-352K3W-026-004
5-352K3W-026-005","2025-9-8, 18:32",連線異常,過帳相關
ASEF3,K11,5F,3400,M32,"3400請協助建檔
腳數:204L
批號:365J51B001
客戶:5J
第一條給貨
Package:	RU1X","2025-9-8, 18:34",無法過帳,過帳相關
ASEF3,K11,8F,4110,ALL,4110自動化機故,"2025-9-8, 19:29",機台異常,自動化設備相關
ASEF3,K25,8F,3670,ALL,,"2025-9-8, 19:41",機台異常,自動化設備相關
ASEF3,K11,8F,4110,ALL,,"2025-9-8, 19:46",機台異常,自動化設備相關
ASEF1,K22,8F,2945,0380,2945-0380 為虛擬機台過帳使用，還請協助關閉比對，謝謝,"2025-9-8, 19:52",關整台,關閉比對
ASEF3,K25,8F,2880,803,,"2025-9-8, 19:59",卡盒卡盤,自動化設備相關
ASEF3,K11,8F,4110,ALL,,"2025-9-8, 20:05",機台異常,自動化設備相關
ASEF3,K25,8F,2900,814F,UNLOADER EQP NO GOOD,"2025-9-8, 20:20",機台異常,自動化設備相關
ASEF3,K25,8F,2890,802,,"2025-9-8, 20:22",卡盒卡盤,自動化設備相關
ASEF3,K11,8F,4110,ALL,,"2025-9-8, 20:58",機台異常,自動化設備相關
ASEF3,K25,8F,3670,E05,,"2025-9-8, 21:24",機台異常,自動化設備相關
ASEF3,K11,8F,4110,ALL,M7824)出料7無盤,"2025-9-8, 21:34",機台異常,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 21:35",機台異常,自動化設備相關
ASEF3,K11,8F,3260,ALL,3260 AUTO MACHINE STOP,"2025-9-8, 21:39",機台異常,自動化設備相關
ASEF3,K25,8F,2890,802,,"2025-9-8, 21:47",卡盒卡盤,自動化設備相關
ASEF3,K11,8F,4110,ALL,,"2025-9-8, 21:58",機台異常,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 22:05",機台異常,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 22:13",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,2890,801,,"2025-9-8, 22:20",卡盒卡盤,自動化設備相關
ASEF3,K25,9F,3910,9002,UNLOADER NG,"2025-9-8, 22:37",卡盒卡盤,自動化設備相關
ASEF3,K11,8F,4110,ALL,,"2025-9-8, 22:54",機台異常,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 22:55",機台異常,自動化設備相關
ASEF3,K25,8F,2880,801,,"2025-9-8, 22:58",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 23:14",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 23:18",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-8, 23:55",卡盒卡盤,自動化設備相關
ASEF1,K21,5F,2195,C01,TOSA,"2025-9-9, 00:00",無法過帳,過帳相關
ASEF3,K11,8F,3910,823,"消除作業紀錄，批號 : 
5-362K84-025-002","2025-9-9, 00:07",連線異常,過帳相關
ASEF3,K11,8F,3910,825,2D TIME OUT 請消除 5-CCQMQ7-021-001 作業記錄，謝謝。,"2025-9-9, 00:11",連線異常,過帳相關
ASEF3,K11,8F,3910,811,2D TIME OUT 請消除 5-33NFUA-017-005 作業記錄，謝謝。,"2025-9-9, 00:13",連線異常,過帳相關
ASEF3,K25,8F,2880,801,,"2025-9-9, 00:25",卡盒卡盤,自動化設備相關
ASEF3,K11,8F,3910,805,"消除作業紀錄，批號：
5-LBQMZL-022-002","2025-9-9, 00:39",連線異常,過帳相關
ASEF3,K25,8F,2890,801,,"2025-9-9, 00:39",卡盒卡盤,自動化設備相關
ASEF3,K11,8F,4110,ALL,移載A/B車防撞偵測動作,"2025-9-9, 00:49",機台異常,自動化設備相關
ASEF3,K25,8F,2880,801,,"2025-9-9, 00:53",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,2890,803,,"2025-9-9, 01:23",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-9, 01:28",卡盒卡盤,自動化設備相關
ASEF3,K11,8F,4110,ALL,移載A/B車防撞偵測動作,"2025-9-9, 01:38",機台異常,自動化設備相關
ASEF3,K25,8F,4507,8002,,"2025-9-9, 01:50",命令異常,自動化設備相關
ASEF3,K11,8F,4110,ALL,,"2025-9-9, 02:02",機台異常,自動化設備相關
ASEF3,K25,8F,3670,ALL,,"2025-9-9, 02:38",機台異常,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-9, 02:53",卡盒卡盤,自動化設備相關
ASEF1,K21,5F,3910,C01S,"Hello CIM：
3910-C01S 
請協助消除此條批號之作業紀錄，批號為 5-36IEVP-001-006，謝謝。","2025-9-9, 03:06",無法過帳,過帳相關
ASEF3,K25,8F,2890,801,,"2025-9-9, 03:08",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-9, 03:31",過壓防撞,自動化設備相關
ASEF3,K25,8F,3450,ALL,,"2025-9-9, 03:38",卡盒卡盤,自動化設備相關
ASEF1,K21,5F,2195,C01,作業非TOSA，請協助更改一般比對程式,"2025-9-9, 03:49",無法過帳,過帳相關
ASEF3,K25,8F,3260,ALL,,"2025-9-9, 04:26",機台異常,自動化設備相關
ASEF3,K11,8F,3910,824,"3910-824讀取2D後，發生系統回傳比對timeout，導致2條未正印
請幫忙清除2條打印紀錄，批號為
5-AWQMVFB006-001
5-AWQMVFB006-002","2025-9-9, 04:46",連線異常,過帳相關
ASEF1,K21,5F,3910,C01S,"Hello CIM：
3910-C01S 
請協助消除此條批號之作業紀錄，批號為 5-36IEVQ-002-002，謝謝。","2025-9-9, 04:56",無法過帳,過帳相關
ASEF3,K25,8F,3260,ALL,,"2025-9-9, 05:13",機台異常,自動化設備相關
ASEF3,K25,8F,2900,801H,,"2025-9-9, 05:16",機台異常,自動化設備相關
ASEF3,K11,8F,4110,ALL,"M7139)入料龍門夾爪動作逾時
(M7103)入料龍門過壓(X380)","2025-9-9, 05:33",機台異常,自動化設備相關
ASEF3,K25,9F,3910,ALL,PUSH CART NG,"2025-9-9, 05:54",機台異常,自動化設備相關
ASEF3,K25,8F,2890,802,,"2025-9-9, 06:01",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-9, 06:17",卡盒卡盤,自動化設備相關
ASEF1,K22,8F,2945,0380,,"2025-9-9, 07:48",無法過帳,過帳相關
ASEF1,K21,8F,2945,0380,需使用虛擬機台過帳，請協助關閉比對。謝謝！,"2025-9-9, 07:50",關整台,關閉比對
ASEF3,K11,9F,4515,651,4515#651 需過帳4554站點，請協助關閉防漏洗功能,"2025-9-9, 08:03",關整台,關閉比對
ASEF3,K11,9F,4730,816,4730#816 無安裝 AI PROFILE，系統有卡 EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-9, 08:05",關整台,關閉比對
ASEF3,K11,9F,4730,801,4730#801 無安裝 AI PROFILE，系統有卡 EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-9, 08:05",關整台,關閉比對
ASEF3,K11,8F,4730,814,4730#814 過帳電腦故障，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-9, 08:05",關整台,關閉比對
ASEF3,K11,6F,4730,602,4730#602  266L 無美光  PROFILE ，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-9, 08:06",關整台,關閉比對
ASEF3,K11,7F,4730,803,4730#803  264(MM1X) L  AI PROFILE   比對異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-9, 08:06",關整台,關閉比對
ASEF3,K11,6F,4730,603,4730#603  207L  CU  AI PROFILE 最高溫異常 ，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-9, 08:07",關整台,關閉比對
ASEF3,K25,8F,3260,ALL,,"2025-9-9, 08:37",機台異常,自動化設備相關
ASEF3,K25,8F,3260,B28,,"2025-9-9, 08:37",機台異常,自動化設備相關
ASEF1,K21,8F,2715,ALL,A02.A03異常,"2025-9-9, 08:57",過壓防撞,自動化設備相關
ASEF1,K21,8F,2715,A02,2715 A02 NG,"2025-9-9, 09:37",機台異常,自動化設備相關
ASEF3,K25,8F,4110,B19,,"2025-9-9, 10:04",機台異常,自動化設備相關
ASEF3,K25,8F,4110,ALL,,"2025-9-9, 10:06",機台異常,自動化設備相關
ASEF3,K11,8F,4110,ALL,"(M7139)入料龍門夾爪動作逾時
(M7103)入料龍門過壓(X380)
(M7102)入料龍門Z軸極限遮蔽","2025-9-9, 10:08",卡盒卡盤,自動化設備相關
ASEF3,K11,8F,3670,ALL,,"2025-9-9, 10:29",默停,自動化設備相關
ASEF3,K25,8F,3260,B21,,"2025-9-9, 10:44",機台異常,自動化設備相關
ASEF3,K25,8F,3260,B28,,"2025-9-9, 11:19",機台異常,自動化設備相關
ASEF3,K25,8F,3670,E03,,"2025-9-9, 11:19",機台異常,自動化設備相關
ASEF3,K25,8F,4110,A18,,"2025-9-9, 11:25",機台異常,自動化設備相關
ASEF3,K25,8F,3800,08,,"2025-9-9, 12:35",默停,自動化設備相關
ASEF1,K21,8F,2500,ALL,B LINE NG,"2025-9-9, 13:43",機台異常,自動化設備相關
ASEF3,K25,8F,3260,ALL,,"2025-9-9, 13:45",機台異常,自動化設備相關
ASEF3,K25,8F,4110,ALL,,"2025-9-9, 13:46",機台異常,自動化設備相關
ASEF1,K21,8F,2715,A03,過壓,"2025-9-9, 14:54",過壓防撞,自動化設備相關
ASEF1,K21,5F,3910,C01S,"Hello CIM：
3910-C01S 
請協助消除此條批號之作業紀錄，批號為 5-36IEVS-001-007，謝謝。","2025-9-9, 16:19",連線異常,過帳相關
ASEF3,K25,8F,4110,B20,,"2025-9-9, 16:19",機台異常,自動化設備相關
ASEF3,K25,8F,3670,E05,,"2025-9-9, 16:37",機台異常,自動化設備相關
ASEF3,K11,8F,3910,805,"Please delete 2D data
5-35LCQ4-003-004","2025-9-9, 16:44",連線異常,過帳相關
ASEF3,K11,8F,3260,ALL,,"2025-9-9, 16:53",機台異常,自動化設備相關
ASEF3,K11,8F,3450,ALL,,"2025-9-9, 18:17",機台異常,自動化設備相關
ASEF3,K11,8F,3260,ALL,,"2025-9-9, 18:17",機台異常,自動化設備相關
ASEF1,K21,5F,2195,C01,作業TOSA，請協助更改TOSA比對程式,"2025-9-9, 18:43",連線異常,過帳相關
ASEF3,K11,8F,3260,ALL,流到卡盤,"2025-9-9, 19:37",機台異常,自動化設備相關
ASEF3,K25,8F,3260,ALL,卡烤盤,"2025-9-9, 19:37",機台異常,自動化設備相關
ASEF3,K25,8F,3260,ALL,流到NG,"2025-9-9, 19:50",卡盒卡盤,自動化設備相關
ASEF3,K25,9F,4600,9003,UNLOADER NO GOOD,"2025-9-9, 19:54",卡盒卡盤,自動化設備相關
ASEF3,K11,9F,4515,651,4515#651 需過帳4554站點，請協助關閉防漏洗功能,"2025-9-9, 19:58",關整台,關閉比對
ASEF3,K11,9F,4730,816,4730#816 無安裝 AI PROFILE，系統有卡 EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-9, 19:58",關整台,關閉比對
ASEF3,K11,9F,4800,815,4800#815 產線清洗機電腦無法連線~再煩請CIM人員協助關閉比對~~謝謝,"2025-9-9, 19:59",關整台,關閉比對
ASEF3,K11,8F,4730,801,4730#801 無安裝 AI PROFILE，系統有卡 EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-9, 19:59",關整台,關閉比對
ASEF3,K11,8F,4730,814,4730#814 過帳電腦故障，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-9, 20:00",關整台,關閉比對
ASEF3,K11,6F,4730,602,4730#602  266L 無美光  PROFILE ，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-9, 20:00",關整台,關閉比對
ASEF3,K11,7F,4730,803,4730#803  264(MM1X) L  AI PROFILE   比對異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-9, 20:01",關整台,關閉比對
ASEF3,K11,9F,4730,801,4730#801 無安裝 AI PROFILE，系統有卡 EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-9, 20:02",關整台,關閉比對
ASEF3,K25,8F,3260,ALL,NG,"2025-9-9, 20:33",機台異常,自動化設備相關
ASEF5,K18,9F,2895,K06N,K18 9F 2895-K06N 因作業 5480L 工程批，新機台無法比對，PE 到場作業，需請協助幫忙關整台比對,"2025-9-9, 20:34",關整台,關閉比對
ASEF3,K25,8F,3260,ALL,NG,"2025-9-9, 20:37",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3260,ALL,NG,"2025-9-9, 21:34",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,4110,ALL,NG,"2025-9-9, 21:35",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,4110,ALL,NG,"2025-9-9, 22:05",卡盒卡盤,自動化設備相關
ASEF1,K21,5F,3910,C01S,"Hello CIM：
3910-C01S 
請協助消除此條批號之作業紀錄，批號為 5-36IEVV-001-004，謝謝。","2025-9-9, 22:34",參數比對異常,過帳相關
ASEF3,K25,8F,3800,03,NG,"2025-9-9, 22:55",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3260,ALL,卡盤,"2025-9-9, 23:01",卡盒卡盤,自動化設備相關
ASEF3,K11,7F,4730,820,4730#820  AI PROFILE   MTK 未建立，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-9, 23:55",關整台,關閉比對
ASEF3,K25,8F,3260,ALL,NG,"2025-9-9, 23:57",機台異常,自動化設備相關
ASEF3,K25,8F,2890,803,NG,"2025-9-9, 23:57",卡盒卡盤,自動化設備相關
ASEF3,K11,8F,3260,ALL,前面和後面都有機故,"2025-9-10, 00:41",機台異常,自動化設備相關
ASEF3,K25,8F,3260,ALL,NG,"2025-9-10, 01:25",卡盒卡盤,自動化設備相關
ASEF3,K25,8F,3260,ALL,卡盤,"2025-9-10, 01:25",默停,自動化設備相關
ASEF3,K25,8F,3260,ALL,NG,"2025-9-10, 01:25",卡盒卡盤,自動化設備相關
ASEF3,K11,8F,3910,824,"消除作業紀錄，共2條，批號：
5-AWQMV3-009-001
＆
5-AWQMV3-018-001","2025-9-10, 01:28",連線異常,過帳相關
ASEF3,K25,8F,4110,ALL,NG,"2025-9-10, 01:41",默停,自動化設備相關
ASEF3,K25,8F,2890,801,can not move in,"2025-9-10, 02:27",偵測檢知異常,自動化設備相關
ASEF1,K21,5F,2195,C01,NOT RUN TOSA,"2025-9-10, 03:36",無法過帳,過帳相關
ASEF3,K25,8F,3670,ALL,手臂過壓,"2025-9-10, 03:58",機台異常,自動化設備相關
ASEF3,K25,8F,3670,ALL,卡盤NG,"2025-9-10, 06:04",機台異常,自動化設備相關
ASEF3,K25,5F,2900,802H,WAFER ID,"2025-9-10, 06:23",異常退盒,過帳相關
ASEF3,K25,8F,3260,ALL,NG,"2025-9-10, 06:53",卡盒卡盤,自動化設備相關
ASEF1,K22,8F,2945,0380,,"2025-9-10, 07:43",無法過帳,過帳相關
ASEF1,K21,8F,2945,0380,"需使用虛擬機台過帳，請協助關閉比對
。謝謝！","2025-9-10, 07:48",關整台,關閉比對
ASEF3,K11,8F,3910,804,"3910-804 因讀取2D時FAIL，機台顯示產品已打印，實際產品未打印。
批號為 5-AXQMJ5-017-002
目前當站EE已確認OK，煩請協助消除此條批號之作業紀錄，謝謝。","2025-9-10, 08:00",連線異常,過帳相關
ASEF3,K11,8F,3910,818,2D讀取Timeout，請協助清除2D讀取紀錄。5-LCQMJ2-019-001,"2025-9-10, 08:02",連線異常,過帳相關
ASEF3,K11,9F,4515,651,4515#651 需過帳4554站點，請協助關閉防漏洗功能,"2025-9-10, 08:04",關整台,關閉比對
ASEF3,K11,9F,4730,816,4730#816 無安裝 AI PROFILE，系統有卡 EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-10, 08:06",關整台,關閉比對
ASEF3,K11,9F,4800,815,4800#815 產線清洗機電腦無法連線~再煩請CIM人員協助關閉比對~~謝謝,"2025-9-10, 08:06",關整台,關閉比對
ASEF3,K11,9F,4730,801,4730#801 無安裝 AI PROFILE，系統有卡 EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-10, 08:06",關整台,關閉比對
ASEF3,K11,8F,3910,809,"Please delete 2D data 
5-AXQMAP-018-001","2025-9-10, 08:07",連線異常,過帳相關
ASEF3,K11,8F,4730,814,4730#814 過帳電腦故障，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-10, 08:07",關整台,關閉比對
ASEF3,K11,6F,4730,602,4730#602  266L 無美光  PROFILE ，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-10, 08:08",關整台,關閉比對
ASEF3,K11,7F,4730,803,4730#803  264(MM1X) L  AI PROFILE   比對異常，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-10, 08:08",關整台,關閉比對
ASEF3,K11,7F,4730,820,4730#820  AI PROFILE   MTK 未建立，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-10, 08:08",關整台,關閉比對
ASEF3,K11,7F,4730,821,4730#821  346L  25JSI無建檔  AI PROFILE  ，EE TEAM 需求關閉比對，手動上傳爐溫，請協助關閉AI PROFILE,"2025-9-10, 08:16",關整台,關閉比對
ASEF5,K18,9F,2895,K06N,因作業 5480L 工程批新機無法過帳，PE到場作業，需請協助關閉整台比對,"2025-9-10, 08:21",關整台,關閉比對
ASEF3,K11,8F,3670,822,夾爪過壓,"2025-9-10, 08:29",過壓防撞,自動化設備相關
ASEF3,K11,8F,3450,ALL,,"2025-9-10, 08:46",機台異常,自動化設備相關
